"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.17254474141171,0.163042267568973,13.3250400267688,1.6554397963648e-40,2928.82168363291,"S_1"
"ASPECT",-0.00429660601308952,0.0814273955117866,-0.052766099002486,0.957918272930979,2928.82168363291,"S_1"
"SLOPE",-0.264126881596147,0.125751939752131,-2.10038017796597,0.0356954112848555,2928.82168363291,"S_1"
"(Intercept)1",-3.08218534432282,0.162810761687643,-18.9310909940712,6.32390117913959e-80,2928.82168363291,"S_1"
"ELE",0.0293879439744687,0.166080351802784,0.176950154882656,0.859547542267124,2928.82168363291,"S_1"
"(Intercept)2",2.69619234075917,0.171293593910181,15.7401819835302,8.02126612641892e-56,3347.83168191465,"S_2"
"ASPECT1",0.137887567678826,0.0690511632372271,1.99688985984363,0.0458371489737392,3347.83168191465,"S_2"
"SLOPE1",0.113157791543931,0.0914132217581269,1.2378711675138,0.21576383472335,3347.83168191465,"S_2"
"(Intercept)11",-3.73689665737564,0.171426919218016,-21.7987739289834,2.38315157654216e-105,3347.83168191465,"S_2"
"ELE1",-0.180145323241884,0.107656486083321,-1.67333460152563,0.0942614443810593,3347.83168191465,"S_2"
"(Intercept)3",1.89547435995813,0.152715498236639,12.4118009098265,2.25522358476002e-35,1985.01145739867,"S_3"
"ASPECT2",-0.154875493465418,0.0982094520401298,-1.57699172786478,0.114797428479806,1985.01145739867,"S_3"
"SLOPE2",-0.116067401464384,0.134734468395375,-0.861452921785293,0.388988639434935,1985.01145739867,"S_3"
"(Intercept)12",-3.66556366818582,0.1427095178626,-25.6854884179135,1.69800372414224e-145,1985.01145739867,"S_3"
"ELE2",0.240931323667934,0.142070696362146,1.69585516110787,0.0899133130307872,1985.01145739867,"S_3"
"(Intercept)4",1.69929046753172,0.154556495153421,10.9946234601458,4.05602853293869e-28,2383.13746789794,"S_4"
"ASPECT3",-0.0910687521825114,0.100547687930745,-0.905726964554747,0.365080386609584,2383.13746789794,"S_4"
"SLOPE3",-0.503995848464753,0.125517572777788,-4.01534093841196,0.0000593599218441749,2383.13746789794,"S_4"
"(Intercept)13",-3.07483542407448,0.134515448172271,-22.8586044640508,1.20004968967132e-115,2383.13746789794,"S_4"
"ELE3",0.345516518170456,0.107049715718,3.22762667656816,0.00124821759822903,2383.13746789794,"S_4"
"(Intercept)5",1.09004542964503,0.237411472208508,4.59137639603066,0.0000044033239298006,1187.51970838695,"S_5"
"ASPECT4",0.408330306583608,0.156922952733463,2.60210695421445,0.00926529519070858,1187.51970838695,"S_5"
"SLOPE4",-0.271273110996858,0.200768917250913,-1.35117086206044,0.176640706125678,1187.51970838695,"S_5"
"(Intercept)14",-3.50561207554297,0.226241222284959,-15.4950191664344,3.74848984990445e-54,1187.51970838695,"S_5"
"ELE4",0.99563046781482,0.193400271066115,5.14803036379642,0.000000263235888784674,1187.51970838695,"S_5"
"(Intercept)6",2.19168796797591,0.154041546772045,14.2279015882594,6.14996169736782e-46,3152.95008019172,"S_6"
"ASPECT5",-0.240848231638274,0.0813537329979022,-2.96050620866389,0.00307133931119414,3152.95008019172,"S_6"
"SLOPE5",-0.33247812791613,0.128031521484455,-2.59684587093264,0.0094084130825424,3152.95008019172,"S_6"
"(Intercept)15",-3.15051699933276,0.14665595480516,-21.4823666963839,2.27609437181117e-102,3152.95008019172,"S_6"
"ELE5",0.179655635791181,0.129559398589434,1.3866661758789,0.165543579103511,3152.95008019172,"S_6"
"(Intercept)7",2.43543957081207,0.127215119080103,19.1442620061423,1.08058670277936e-81,3615.2947142613,"S_7"
"ASPECT6",-0.193060038696349,0.0725796726495363,-2.65997395205367,0.00781466949003564,3615.2947142613,"S_7"
"SLOPE6",-0.0524402622927606,0.0969021168682815,-0.541167355136755,0.588392236170832,3615.2947142613,"S_7"
"(Intercept)16",-3.10038689947631,0.119274258204934,-25.993763835859,5.82510547214023e-149,3615.2947142613,"S_7"
"ELE6",-0.0533752792229422,0.102039161035686,-0.523086221811204,0.600914253234568,3615.2947142613,"S_7"
"(Intercept)8",2.22770676486765,0.203488952014984,10.9475563307418,6.82644218066301e-28,2315.62096717443,"S_8"
"ASPECT7",-0.0444622330912507,0.0876655034361185,-0.507180491168344,0.612028182139044,2315.62096717443,"S_8"
"SLOPE7",-0.301297254200564,0.125753471300207,-2.39593588220946,0.0165779899957064,2315.62096717443,"S_8"
"(Intercept)17",-3.76445017418344,0.201590277507657,-18.6737685007674,8.09351937769443e-78,2315.62096717443,"S_8"
"ELE7",0.412422603346867,0.1358183868847,3.03657415469811,0.00239283243321277,2315.62096717443,"S_8"
"(Intercept)9",1.51271584036784,0.150493147378496,10.0517257211938,9.02725131515434e-24,2544.50644097713,"S_9"
"ASPECT8",-0.154755655438719,0.109296177131195,-1.41592926212741,0.156796216433304,2544.50644097713,"S_9"
"SLOPE8",-0.065869472108796,0.125228401499839,-0.525994673092436,0.59889190812147,2544.50644097713,"S_9"
"(Intercept)18",-2.64540557602663,0.127398373656198,-20.7648300375138,9.00452931662225e-96,2544.50644097713,"S_9"
"ELE8",-0.0698374405124113,0.103022851768604,-0.677883006667982,0.497845875343305,2544.50644097713,"S_9"
