"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.19155893813907,0.157600756677544,13.9057640606578,5.84394473370762e-44,2928.19474008545,"S_1"
"ASPECT",-0.0034533325245646,0.0844439561410141,-0.0408949637413698,0.967379632442725,2928.19474008545,"S_1"
"ELE",-0.173921693198767,0.105084983955704,-1.65505752251034,0.097912830201187,2928.19474008545,"S_1"
"(Intercept)1",-3.10965099533384,0.15155687309409,-20.5180466701982,1.48562637183149e-93,2928.19474008545,"S_1"
"SLOPE",-0.115605325553761,0.111214711447481,-1.03947871688138,0.29858215132543,2928.19474008545,"S_1"
"(Intercept)2",2.66639991008514,0.163949494499697,16.2635445642687,1.7907178471311e-59,3345.58424358566,"S_2"
"ASPECT1",0.146435426034541,0.069895339289016,2.0950671035308,0.0361650277579198,3345.58424358566,"S_2"
"ELE1",-0.183277068844956,0.0832449756692134,-2.20165922773809,0.0276893888210571,3345.58424358566,"S_2"
"(Intercept)11",-3.70664707542584,0.162520181942762,-22.8073032599193,3.88048156082287e-115,3345.58424358566,"S_2"
"SLOPE1",0.107711061997357,0.0917657438438377,1.17376111700957,0.240490722412345,3345.58424358566,"S_2"
"(Intercept)3",1.92632091890596,0.149793157174743,12.8598726085917,7.57013267614412e-38,1984.86757125761,"S_3"
"ASPECT2",-0.200453276003763,0.101434294719672,-1.97618839424815,0.0481334438575958,1984.86757125761,"S_3"
"ELE2",0.219307542052334,0.125654229057727,1.74532559466487,0.0809282091439333,1984.86757125761,"S_3"
"(Intercept)12",-3.6994413703852,0.140349535393701,-26.3587717622843,4.07173094067028e-153,1984.86757125761,"S_3"
"SLOPE2",-0.164665460436724,0.117430922953827,-1.40223253206883,0.160845819976885,1984.86757125761,"S_3"
"(Intercept)4",1.8328802410577,0.167873023379926,10.9182535952162,9.42913917000253e-28,2401.92283777628,"S_4"
"ASPECT3",-0.0451604792061204,0.0970167566528502,-0.465491537381689,0.641579495789283,2401.92283777628,"S_4"
"ELE3",-0.00134057279836941,0.123003264035747,-0.0108986766235717,0.991304286337024,2401.92283777628,"S_4"
"(Intercept)13",-3.17170110166618,0.172371280848066,-18.4004033970243,1.30390471300601e-75,2401.92283777628,"S_4"
"SLOPE3",-0.109195567444533,0.129146187142155,-0.845519096311669,0.397821075208081,2401.92283777628,"S_4"
"(Intercept)5",0.830273405628848,0.174571940518607,4.7560530241133,0.00000197414637618201,1214.51131761923,"S_5"
"ASPECT4",0.355624586960538,0.166919246238529,2.13051876865265,0.0331288079702178,1214.51131761923,"S_5"
"ELE4",0.179357621137626,0.138504309947707,1.29496057707766,0.195333829473207,1214.51131761923,"S_5"
"(Intercept)14",-3.06404994700148,0.123624089916233,-24.7852174206311,1.29411391503703e-135,1214.51131761923,"S_5"
"SLOPE4",0.215982158500176,0.121193635811965,1.78212458973735,0.0747289166860401,1214.51131761923,"S_5"
"(Intercept)6",2.20425898362531,0.150641640172264,14.6324680287911,1.74346185659554e-48,3157.4880035244,"S_6"
"ASPECT5",-0.244126951498742,0.0848149016324692,-2.8783497569404,0.00399761650604214,3157.4880035244,"S_6"
"ELE5",0.0200818276053557,0.119875465731765,0.167522415723423,0.866959011545938,3157.4880035244,"S_6"
"(Intercept)15",-3.16105548143078,0.14463492678915,-21.8554090053157,6.90500125721824e-106,3157.4880035244,"S_6"
"SLOPE5",-0.153207158187558,0.10886726507433,-1.40728398093728,0.159343197485122,3157.4880035244,"S_6"
"(Intercept)7",2.50556585251086,0.135116326757262,18.543768267266,9.15746160814072e-77,3606.56781050592,"S_7"
"ASPECT6",-0.258182600188856,0.0733395749159426,-3.52037219311359,0.000430941621117515,3606.56781050592,"S_7"
"ELE6",0.22816646385437,0.0916763317058148,2.48882628273725,0.0128165572837938,3606.56781050592,"S_7"
"(Intercept)16",-3.19234961992979,0.130138533031995,-24.530394999496,7.00286002713622e-133,3606.56781050592,"S_7"
"SLOPE6",-0.288157362598179,0.0873872494203169,-3.29747605640034,0.000975579921698486,3606.56781050592,"S_7"
"(Intercept)8",2.29588595259983,0.196455045509107,11.6865715851182,1.49292287346632e-31,2319.65285640691,"S_8"
"ASPECT7",-0.0309296261744423,0.0875736214722943,-0.353184276891273,0.723950294536582,2319.65285640691,"S_8"
"ELE7",0.25090282999138,0.107344167323897,2.33736807733868,0.019420053520076,2319.65285640691,"S_8"
"(Intercept)17",-3.81977283904525,0.196930021201046,-19.3965999482915,8.24472303878623e-84,2319.65285640691,"S_8"
"SLOPE7",-0.159850383228794,0.116379149276635,-1.37353111981277,0.169587293616254,2319.65285640691,"S_8"
"(Intercept)9",1.56983663398224,0.15960795892566,9.83557865503074,7.91114926950104e-23,2542.6862545509,"S_9"
"ASPECT8",-0.207451553375273,0.111880738344562,-1.85422045335792,0.0637076270626693,2542.6862545509,"S_9"
"ELE8",0.154858700851,0.130228399118244,1.18913157114366,0.234387896577632,2542.6862545509,"S_9"
"(Intercept)18",-2.72232550011973,0.142664585231169,-19.081999192081,3.56363622379568e-81,2542.6862545509,"S_9"
"SLOPE8",-0.225774794423072,0.120598338207211,-1.87212193616754,0.0611897358175161,2542.6862545509,"S_9"
