"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.20932895367332,0.15991136840972,13.8159592757198,2.04215562683632e-43,2922.69799048589,"S_1"
"EDGE",-0.238550446572216,0.0970105155134936,-2.45901637888973,0.0139318261625031,2922.69799048589,"S_1"
"(Intercept)1",-3.14110681800336,0.153748896860331,-20.4301096277576,9.02989878752334e-93,2922.69799048589,"S_1"
"SLOPE",-0.121481158389597,0.0945280693508449,-1.28513318026961,0.198745748589024,2922.69799048589,"S_1"
"(Intercept)2",2.61920626755928,0.154132984012146,16.9931587605731,9.22828302803933e-65,3349.18065320499,"S_2"
"EDGE1",-0.124316991358677,0.0792903701483473,-1.5678699837835,0.116911478137547,3349.18065320499,"S_2"
"(Intercept)11",-3.6447353652584,0.151763571177353,-24.0158777036099,1.89815616054171e-127,3349.18065320499,"S_2"
"SLOPE1",0.0429653740662958,0.0857123345436911,0.50127410827195,0.616178224706676,3349.18065320499,"S_2"
"(Intercept)3",1.92498228840066,0.14729809887125,13.0686159777476,4.97626694998448e-39,1985.53804022453,"S_3"
"EDGE2",0.176323891194927,0.102339791369636,1.72292603722506,0.0849019011404792,1985.53804022453,"S_3"
"(Intercept)12",-3.68585168123597,0.138173595238424,-26.6755140508278,9.05572204100871e-157,1985.53804022453,"S_3"
"SLOPE2",-0.0835438001477756,0.0973846052457173,-0.85787481437113,0.390961592682135,1985.53804022453,"S_3"
"(Intercept)4",1.83313494250029,0.156432110136071,11.7184057729948,1.0258429775782e-31,2400.14360523026,"S_4"
"EDGE3",0.00353764187701622,0.109099520107233,0.0324258243623719,0.974132468450102,2400.14360523026,"S_4"
"(Intercept)13",-3.17055065044687,0.156041482435396,-20.3186396396838,8.7980703301224e-92,2400.14360523026,"S_4"
"SLOPE3",-0.106663904112478,0.113129280423558,-0.942849664676791,0.345757804264092,2400.14360523026,"S_4"
"(Intercept)5",0.844378966892212,0.169342885826262,4.98620867816381,0.000000615756370480197,1215.46043636252,"S_5"
"EDGE4",0.302464137877433,0.136286952164717,2.2193183798833,0.0264650720498739,1215.46043636252,"S_5"
"(Intercept)14",-3.04062951949664,0.119547067071371,-25.4345806550096,1.04570965497005e-142,1215.46043636252,"S_5"
"SLOPE4",0.139168119984422,0.114611095691034,1.21426393444129,0.22464695309926,1215.46043636252,"S_5"
"(Intercept)6",2.15417908569432,0.144575757642294,14.9000020530699,3.29569372601242e-50,3161.10626955151,"S_6"
"EDGE5",-0.169867075028639,0.103513765235107,-1.64100952798718,0.100795437377982,3161.10626955151,"S_6"
"(Intercept)15",-3.08411782108334,0.135614911044127,-22.7417309596569,1.73259423362814e-114,3161.10626955151,"S_6"
"SLOPE5",-0.0240623044865261,0.0883475804070644,-0.272359518796759,0.785345595821956,3161.10626955151,"S_6"
"(Intercept)7",2.422032160331,0.125691029209419,19.2697297139285,9.64383744158116e-83,3618.87497054284,"S_7"
"EDGE6",0.038485447270156,0.0787991672256773,0.488399162391341,0.625267135052106,3618.87497054284,"S_7"
"(Intercept)16",-3.0714220027317,0.118066679012646,-26.0142999567448,3.41223585995235e-149,3618.87497054284,"S_7"
"SLOPE6",-0.126515339288314,0.0724944912550658,-1.7451717654405,0.08095497441593,3618.87497054284,"S_7"
"(Intercept)8",2.21986429995004,0.184579457118254,12.0266054229851,2.57533149662182e-33,2319.15875160595,"S_8"
"EDGE7",0.182546813179379,0.0931498435506908,1.95971143075554,0.0500295283544273,2319.15875160595,"S_8"
"(Intercept)17",-3.73507824920405,0.182507276087256,-20.4653662543203,4.38376006090285e-93,2319.15875160595,"S_8"
"SLOPE7",-0.0776388062232708,0.0991297646523991,-0.783203778355705,0.433507456488585,2319.15875160595,"S_8"
"(Intercept)9",1.5222473307841,0.152805511013844,9.96199234362818,2.23537405010384e-23,2544.56472395112,"S_9"
"EDGE8",0.00464469499988384,0.118563637496799,0.0391747005907208,0.968751104152601,2544.56472395112,"S_9"
"(Intercept)18",-2.64759292503772,0.130886847824087,-20.2281051843811,5.53909024676397e-91,2544.56472395112,"S_9"
"SLOPE8",-0.107049718086086,0.104042385087843,-1.02890488329063,0.30352437344471,2544.56472395112,"S_9"
