"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.29988008814918,0.169639349355523,13.5574682223591,7.1563797642289e-42,2924.28075012711,"S_1"
"ELE",-0.0322968505393589,0.128456371694402,-0.251422721297105,0.801487302719859,2924.28075012711,"S_1"
"(Intercept)1",-3.23790149872438,0.166753754945597,-19.4172628963033,5.51521043715281e-84,2924.28075012711,"S_1"
"SLOPE",-0.108122809107239,0.104108381200526,-1.03856008383207,0.299009378006831,2924.28075012711,"S_1"
"EDGE",-0.246964404514712,0.123306896430858,-2.00284340667996,0.0451940991358527,2924.28075012711,"S_1"
"(Intercept)2",2.63860186248934,0.157820539582339,16.7190016551218,9.53023509142049e-63,3349.60666155464,"S_2"
"ELE1",-0.197321809723844,0.10141148565052,-1.94575405791654,0.0516842896789763,3349.60666155464,"S_2"
"(Intercept)11",-3.66485121077782,0.155669257054147,-23.5425496345952,1.49655046426279e-122,3349.60666155464,"S_2"
"SLOPE1",0.0778416107845416,0.0964798819282343,0.80681701955692,0.419771912100009,3349.60666155464,"S_2"
"EDGE1",0.0637040868918388,0.108649771318923,0.58632508949187,0.557657073857908,3349.60666155464,"S_2"
"(Intercept)3",1.89616119790566,0.150096177863221,12.6329745693696,1.38925496819478e-36,1983.9924101861,"S_3"
"ELE2",0.0245420432553812,0.122680639796742,0.200048217029538,0.841442871469381,1983.9924101861,"S_3"
"(Intercept)12",-3.66348046284483,0.140102401844067,-26.1485914204545,1.02255400049789e-150,1983.9924101861,"S_3"
"SLOPE2",-0.21051821193365,0.119916232166467,-1.75554391703544,0.0791663155621281,1983.9924101861,"S_3"
"EDGE2",0.327358765503123,0.144768586846173,2.2612555156801,0.0237434391487866,1983.9924101861,"S_3"
"(Intercept)4",1.83774823257822,0.166443423937331,11.0412787066323,2.41570615616515e-28,2401.00182028518,"S_4"
"ELE3",-0.0586658145012574,0.126673760549466,-0.46312523009332,0.643274606340399,2401.00182028518,"S_4"
"(Intercept)13",-3.18003075584175,0.169569365640366,-18.753568746528,1.81025558042744e-78,2401.00182028518,"S_4"
"SLOPE3",-0.143212855698312,0.13061797783002,-1.0964253013064,0.272892696568225,2401.00182028518,"S_4"
"EDGE3",0.134422167430077,0.125373630750857,1.07217256631262,0.283642529985521,2401.00182028518,"S_4"
"(Intercept)5",0.938370007143642,0.194274099546988,4.83013437885829,0.00000136440936901712,1198.3540392711,"S_5"
"ELE4",0.0923709576244445,0.151982890095279,0.607772082545191,0.543338647586637,1198.3540392711,"S_5"
"(Intercept)14",-3.26721530652418,0.165721880283689,-19.7150509089761,1.6015496250934e-86,1198.3540392711,"S_5"
"SLOPE4",-0.132441463301252,0.146821592635837,-0.902057122004854,0.367026524599826,1198.3540392711,"S_5"
"EDGE4",0.774280276412571,0.178876114813391,4.32858393207122,0.0000150071140629416,1198.3540392711,"S_5"
"(Intercept)6",2.17911240109346,0.149329753178403,14.5926203901917,3.12942748369746e-48,3165.32771872762,"S_6"
"ELE5",-0.0194373171771635,0.129007827541954,-0.150667735032143,0.880237826343352,3165.32771872762,"S_6"
"(Intercept)15",-3.10707347766097,0.143978304064359,-21.5801505501279,2.75967942213679e-103,3165.32771872762,"S_6"
"SLOPE5",-0.0330926539587614,0.114928143615201,-0.287942125555957,0.773391040271241,3165.32771872762,"S_6"
"EDGE5",-0.0919499529792354,0.153249700478656,-0.600000865855146,0.548505658451822,3165.32771872762,"S_6"
"(Intercept)7",2.4839719758952,0.134159406014892,18.5150788131805,1.56068121876599e-76,3617.20731349963,"S_7"
"ELE6",0.203106760138451,0.103554846248,1.96134480903035,0.0498388134970495,3617.20731349963,"S_7"
"(Intercept)16",-3.13979218655329,0.127927133679741,-24.5435983457083,5.06225406830042e-133,3617.20731349963,"S_7"
"SLOPE6",-0.152188731233412,0.0810776691526924,-1.87707333996982,0.0605080427731087,3617.20731349963,"S_7"
"EDGE6",-0.13903027032788,0.114651237277403,-1.2126364584404,0.225268843354003,3617.20731349963,"S_7"
"(Intercept)8",2.27230931167228,0.195595911347431,11.6173661096425,3.3634622139797e-31,2319.45300494434,"S_8"
"ELE7",0.185895945809488,0.135561366543294,1.37130474964723,0.170279975703834,2319.45300494434,"S_8"
"(Intercept)17",-3.79727070783415,0.194909868656262,-19.4821880185601,1.55490324652922e-84,2319.45300494434,"S_8"
"SLOPE7",-0.148714125897674,0.109046255437902,-1.36377104652036,0.172639635507949,2319.45300494434,"S_8"
"EDGE7",0.0778471857842691,0.136400599430497,0.570724660370253,0.568186299729533,2319.45300494434,"S_8"
"(Intercept)9",1.52555453150312,0.15753563657332,9.6838694068634,3.53093462013683e-22,2545.78115009871,"S_9"
"ELE8",0.102730319249915,0.126792650636433,0.810222980072282,0.417812032242013,2545.78115009871,"S_9"
"(Intercept)18",-2.65459071362062,0.13749498347755,-19.3068186669812,4.7068765391694e-83,2545.78115009871,"S_9"
"SLOPE8",-0.12778284939568,0.117602930874968,-1.08656177567152,0.277230525708741,2545.78115009871,"S_9"
"EDGE8",-0.0494506358594392,0.0994226636361021,-0.497377902089145,0.618922585673425,2545.78115009871,"S_9"
