"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.1900695745186,0.154185803087387,14.2040935719442,8.64135252224765e-46,2927.03416709908,"S_1"
"SLOPE",-0.13228366664038,0.123672550933974,-1.06962835036049,0.284786628862147,2927.03416709908,"S_1"
"ELE",-0.143915301821378,0.12029351731423,-1.19636789275555,0.231553025047188,2927.03416709908,"S_1"
"(Intercept)1",-3.10443079204715,0.14665645343705,-21.168047633033,1.88193462231319e-99,2927.03416709908,"S_1"
"ASPECT",0.0678977085328229,0.0834832957578458,0.813308913076085,0.416040968093087,2927.03416709908,"S_1"
"(Intercept)2",2.6812246994755,0.160201659140198,16.7365601196993,7.09728949951094e-63,3341.33453040306,"S_2"
"SLOPE1",0.190868609083943,0.0958623779976603,1.99106899985938,0.0464733020108539,3341.33453040306,"S_2"
"ELE1",-0.250504036807266,0.0983275999807748,-2.54764722068113,0.0108452081648219,3341.33453040306,"S_2"
"(Intercept)11",-3.72604444156519,0.15866089936757,-23.4843269918259,5.89818428775469e-122,3341.33453040306,"S_2"
"ASPECT1",0.17162218643974,0.0690318882199333,2.48612910446485,0.0129141105942918,3341.33453040306,"S_2"
"(Intercept)3",1.9397127022948,0.152981288784353,12.6794114346172,7.69071773081409e-37,1988.97847276144,"S_3"
"SLOPE2",-0.0458586514900757,0.142569070533935,-0.321659188197907,0.747710899019119,1988.97847276144,"S_3"
"ELE2",0.123000683163644,0.133903424798978,0.918577574459342,0.358316566173094,1988.97847276144,"S_3"
"(Intercept)12",-3.70334676173479,0.147249354768819,-25.1501731029588,1.40704743401076e-139,1988.97847276144,"S_3"
"ASPECT2",-0.0748647936805365,0.113306604774279,-0.660727535077738,0.508787062112529,1988.97847276144,"S_3"
"(Intercept)4",1.70948508865618,0.146031484967934,11.7062775129045,1.18362996011952e-31,2387.88471583093,"S_4"
"SLOPE3",-0.496234562375707,0.1544053037575,-3.21384402154388,0.00130970799044519,2387.88471583093,"S_4"
"ELE3",0.251429959591003,0.136953488638322,1.8358784583794,0.0663756342964656,2387.88471583093,"S_4"
"(Intercept)13",-3.07488743523678,0.125456953392863,-24.5095018815569,1.16985639029155e-132,2387.88471583093,"S_4"
"ASPECT3",0.12432143307311,0.0982677964907423,1.2651289386022,0.205825110719674,2387.88471583093,"S_4"
"(Intercept)5",0.847848033502728,0.166745934756076,5.08466988861228,0.0000003682660102982,1220.37477594654,"S_5"
"SLOPE4",-0.111657050610361,0.215553693950505,-0.518001100162074,0.604457501738088,1220.37477594654,"S_5"
"ELE4",0.353950182772799,0.191855652415906,1.84487753326914,0.0650553555313326,1220.37477594654,"S_5"
"(Intercept)14",-3.02363957896272,0.120511388722075,-25.0900733202559,6.38270768929571e-139,1220.37477594654,"S_5"
"ASPECT4",0.0124549035455017,0.111637520697069,0.111565569243501,0.911167873301966,1220.37477594654,"S_5"
"(Intercept)6",2.22618908286245,0.153066134474338,14.5439687917099,6.37847918704611e-48,3154.67086392021,"S_6"
"SLOPE5",-0.289182866515785,0.122703258864391,-2.35676598317069,0.0184348601821371,3154.67086392021,"S_6"
"ELE5",0.095174731611492,0.116484011366134,0.817062620829032,0.413892642770911,3154.67086392021,"S_6"
"(Intercept)15",-3.1906368018693,0.146848067674739,-21.7274687531905,1.12853985931916e-104,3154.67086392021,"S_6"
"ASPECT5",-0.234966702545761,0.0803487279094793,-2.92433631071887,0.00345191576538495,3154.67086392021,"S_6"
"(Intercept)7",2.46254219624716,0.130724130252479,18.8377018955187,3.70715939629243e-79,3617.21783077691,"S_7"
"SLOPE6",-0.231211706794953,0.108796668332902,-2.12517267612901,0.0335722071036737,3617.21783077691,"S_7"
"ELE6",0.182641232540765,0.10068939919109,1.8139072634066,0.0696920043081197,3617.21783077691,"S_7"
"(Intercept)16",-3.13902699456576,0.125715186771951,-24.9693539433704,1.316269281914e-137,3617.21783077691,"S_7"
"ASPECT6",-0.149207936623773,0.074301786610507,-2.00813390135458,0.0446290646124156,3617.21783077691,"S_7"
"(Intercept)8",2.22042202464171,0.187265241280842,11.8570964342055,1.97713052874994e-32,2315.20943941618,"S_8"
"SLOPE7",-0.264944028396375,0.131114394327293,-2.02070893707529,0.0433099041453251,2315.20943941618,"S_8"
"ELE7",0.319563569172141,0.117325708186748,2.72373015352688,0.00645492228840294,2315.20943941618,"S_8"
"(Intercept)17",-3.74762071900567,0.185506968392777,-20.2020482113145,9.39198565305765e-91,2315.20943941618,"S_8"
"ASPECT7",0.0540960480583774,0.0886897814037883,0.609946796599802,0.541897051632262,2315.20943941618,"S_8"
"(Intercept)9",1.50002505391891,0.149245762349872,10.0507044910425,9.12129887428385e-24,2540.69443696728,"S_9"
"SLOPE8",-0.276755378818538,0.165664729339651,-1.67057514246817,0.0948056257640145,2540.69443696728,"S_9"
"ELE8",0.18950139463377,0.152460391272869,1.24295492784487,0.213884442999469,2540.69443696728,"S_9"
"(Intercept)18",-2.65305366572248,0.125230070767435,-21.18543612939,1.30115341307636e-99,2540.69443696728,"S_9"
"ASPECT8",-0.224922970157415,0.097512740348376,-2.30660085393816,0.0210770819030803,2540.69443696728,"S_9"
