"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.19273418525264,0.155225915705014,14.1260831047029,2.62335190437926e-45,2927.70054068357,"S_1"
"ELE",-0.191622657735945,0.106058950549323,-1.80675611764449,0.0708003135795694,2927.70054068357,"S_1"
"(Intercept)1",-3.10799756047332,0.148808453095674,-20.8858938845032,7.19457713490123e-97,2927.70054068357,"S_1"
"ASPECT",0.062537575687565,0.0886100203241673,0.705761893054308,0.480336223663202,2927.70054068357,"S_1"
"SLOPE",-0.0814368912726263,0.116392300184777,-0.699675933402315,0.484129709538791,2927.70054068357,"S_1"
"(Intercept)2",2.67629810130079,0.161683749457366,16.552672178143,1.53151373192738e-61,3344.02802653487,"S_2"
"ELE1",-0.167369561037641,0.0857162289074176,-1.95260061217132,0.0508669385759524,3344.02802653487,"S_2"
"(Intercept)11",-3.71615900180632,0.160452743335618,-23.1604578678549,1.14058721091146e-118,3344.02802653487,"S_2"
"ASPECT1",0.168821435456095,0.0688942324775132,2.45044366393366,0.0142680287968992,3344.02802653487,"S_2"
"SLOPE1",0.0993263572570654,0.09291987414496,1.06894631714751,0.285093859677032,3344.02802653487,"S_2"
"(Intercept)3",1.95838007840818,0.155968492649352,12.5562544405106,3.67313340838104e-36,1988.01350600786,"S_3"
"ELE2",0.166195223585373,0.116264496720988,1.42945807424091,0.152872616973639,1988.01350600786,"S_3"
"(Intercept)12",-3.72426710438293,0.15093573058041,-24.6745226598208,2.00806149202772e-134,1988.01350600786,"S_3"
"ASPECT2",-0.0993969728887089,0.112314511689846,-0.88498780249512,0.376163210033697,1988.01350600786,"S_3"
"SLOPE2",-0.116915283135488,0.112400825014589,-1.04016392335477,0.298263749344996,1988.01350600786,"S_3"
"(Intercept)4",1.77377710110404,0.162587881261163,10.9096513672802,1.03653093269584e-27,2398.45691452686,"S_4"
"ELE3",-0.0367313322351025,0.124060582748121,-0.296075767350519,0.767172219625584,2398.45691452686,"S_4"
"(Intercept)13",-3.09020453596397,0.165853666338878,-18.6321147079736,1.76414257030498e-77,2398.45691452686,"S_4"
"ASPECT3",0.180492315129673,0.0943277527636689,1.913459293172,0.055689279981402,2398.45691452686,"S_4"
"SLOPE3",-0.0718888984837472,0.124765681104361,-0.576191287920076,0.564485893230469,2398.45691452686,"S_4"
"(Intercept)5",0.862763159210445,0.170258314444871,5.06737754349027,0.000000403333808982858,1218.76859509073,"S_5"
"ELE4",0.237579782009292,0.140582336970284,1.68996893300693,0.0910338983371755,1218.76859509073,"S_5"
"(Intercept)14",-3.06600741830048,0.132311172063496,-23.1727024293088,8.58431853904251e-119,1218.76859509073,"S_5"
"ASPECT4",0.086774378276438,0.119453739383173,0.726426637830825,0.467577266120481,1218.76859509073,"S_5"
"SLOPE4",0.170176541148464,0.125728094968591,1.35352835172582,0.175886898844231,1218.76859509073,"S_5"
"(Intercept)6",2.23171040722927,0.151954564194189,14.6866954544207,7.84472208370992e-49,3157.97733234595,"S_6"
"ELE5",0.0100989830904048,0.111025479628599,0.0909609499025602,0.927523619841719,3157.97733234595,"S_6"
"(Intercept)15",-3.19004731493434,0.147133075147482,-21.6813745769721,3.07555962235482e-104,3157.97733234595,"S_6"
"ASPECT5",-0.23171367748054,0.0820817378415003,-2.82296261718994,0.00475821193631822,3157.97733234595,"S_6"
"SLOPE5",-0.16328010763238,0.106143173606,-1.53830059989039,0.123975133142012,3157.97733234595,"S_6"
"(Intercept)7",2.50471470300041,0.136759118654171,18.3147912011206,6.3068347185086e-75,3614.25496874462,"S_7"
"ELE6",0.16660656861127,0.0839929665312074,1.98357761955423,0.047302946200337,3614.25496874462,"S_7"
"(Intercept)16",-3.18197289505921,0.133266948971705,-23.8766845013823,5.35082134961388e-126,3614.25496874462,"S_7"
"ASPECT6",-0.155042206068574,0.0728021055416129,-2.12963903880436,0.0332014254428781,3614.25496874462,"S_7"
"SLOPE6",-0.230928802864537,0.082100728258165,-2.81274974977546,0.00491198621268367,3614.25496874462,"S_7"
"(Intercept)8",2.2373821045392,0.194604782589189,11.4970561091621,1.3649168922151e-30,2318.59385106759,"S_8"
"ELE7",0.203453079814118,0.106965720321657,1.90204001059698,0.0571659240647901,2318.59385106759,"S_8"
"(Intercept)17",-3.75441347378575,0.196004241456781,-19.1547562740554,8.83378947744207e-82,2318.59385106759,"S_8"
"ASPECT7",0.0937680038985174,0.0868671397109446,1.07944159564291,0.280390916528274,2318.59385106759,"S_8"
"SLOPE7",-0.101255373775944,0.115189886624854,-0.879030067159533,0.379384973500039,2318.59385106759,"S_8"
"(Intercept)9",1.55723383331197,0.152480983590586,10.2126428925273,1.74058059457445e-24,2538.06274812245,"S_9"
"ELE8",0.153932562117754,0.122290604456475,1.25874397957156,0.208122820578554,2538.06274812245,"S_9"
"(Intercept)18",-2.7103607195551,0.130560837704613,-20.7593698631679,1.00880764301685e-95,2538.06274812245,"S_9"
"ASPECT8",-0.304258215524847,0.107458436988513,-2.83140369478267,0.00463441874446468,2538.06274812245,"S_9"
"SLOPE8",-0.283779162565038,0.119077968178876,-2.38313742588177,0.0171657848058419,2538.06274812245,"S_9"
