"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.2165222548974,0.161214936252513,13.7488641339388,5.17353920776506e-43,2924.56248939481,"S_1"
"ELE",0.0596598569502115,0.162217178934343,0.367777675226117,0.713039016709242,2924.56248939481,"S_1"
"EDGE",-0.278090846916847,0.14402669706497,-1.93082846849845,0.0535042685245235,2924.56248939481,"S_1"
"(Intercept)1",-3.14941368649395,0.155604428868277,-20.239871765861,4.36302960220387e-91,2924.56248939481,"S_1"
"SLOPE",-0.14032701825866,0.10715665113028,-1.30955024049838,0.190348031142377,2924.56248939481,"S_1"
"(Intercept)2",2.63363561400003,0.157575693616301,16.7134635650913,1.04580744775948e-62,3349.9232313427,"S_2"
"ELE1",-0.151372370492731,0.13308232843984,-1.13743404002102,0.255356883924784,3349.9232313427,"S_2"
"EDGE1",-0.0178509149229158,0.124214144637974,-0.143710806647205,0.885728837316229,3349.9232313427,"S_2"
"(Intercept)11",-3.66271135618319,0.155581690246107,-23.5420463062802,1.51442159065665e-122,3349.9232313427,"S_2"
"SLOPE1",0.0871352982765344,0.0946241787548458,0.920856586795709,0.357125306825168,3349.9232313427,"S_2"
"(Intercept)3",1.92389272500908,0.147464926807906,13.0464427484863,6.65844752520694e-39,1987.50465865089,"S_3"
"ELE2",-0.0354140317483481,0.193671338702072,-0.182856337885009,0.854910742510815,1987.50465865089,"S_3"
"EDGE2",0.203479261548781,0.180798329593232,1.12544879151582,0.260398905399119,1987.50465865089,"S_3"
"(Intercept)12",-3.68526701207501,0.138232682071239,-26.6598821411551,1.37473820881275e-156,1987.50465865089,"S_3"
"SLOPE2",-0.0759154529476933,0.106153505777251,-0.715147864329525,0.474517680475108,1987.50465865089,"S_3"
"(Intercept)4",1.82335035593599,0.166063301172802,10.9798513160873,4.77709409827091e-28,2402.11513523728,"S_4"
"ELE3",-0.0328693866450805,0.195020362051083,-0.16854335772626,0.866155836972452,2402.11513523728,"S_4"
"EDGE3",0.0273518858182228,0.179086067522887,0.15273039492437,0.878610890279141,2402.11513523728,"S_4"
"(Intercept)13",-3.15896257256064,0.169330642344856,-18.6555872511672,1.13745615318289e-77,2402.11513523728,"S_4"
"SLOPE3",-0.097471097267442,0.125118112258928,-0.779032671670501,0.43596046912519,2402.11513523728,"S_4"
"(Intercept)5",0.843756652155599,0.169768525257449,4.97004171342166,0.000000669384991317852,1217.30022963311,"S_5"
"ELE4",-0.112748363661906,0.282278584316611,-0.399422308053822,0.689582059308431,1217.30022963311,"S_5"
"EDGE4",0.402966030945906,0.289017551539003,1.39426145159743,0.163238667051804,1217.30022963311,"S_5"
"(Intercept)14",-3.04257490449277,0.11989350953548,-25.3773112179386,4.49033458568819e-142,1217.30022963311,"S_5"
"SLOPE4",0.146728417962605,0.116470216415168,1.25979346891208,0.207743876442175,1217.30022963311,"S_5"
"(Intercept)6",2.16947462588678,0.14599971442021,14.8594443112587,6.04243018347183e-50,3161.92402131874,"S_6"
"ELE5",0.184247848287486,0.170127195582784,1.08300056117619,0.278808173954479,3161.92402131874,"S_6"
"EDGE5",-0.282733297726003,0.144349964703825,-1.95866551340079,0.0501519717287784,3161.92402131874,"S_6"
"(Intercept)15",-3.1055774342506,0.138208972952026,-22.4701578191207,8.13018678481972e-112,3161.92402131874,"S_6"
"SLOPE5",-0.077306812509851,0.0996158646284665,-0.77604920459386,0.437719933830778,3161.92402131874,"S_6"
"(Intercept)7",2.44898135051079,0.129071247993012,18.9738720946077,2.80466299791103e-80,3616.77484027954,"S_7"
"ELE6",0.310012837018938,0.154157219362826,2.01101731271689,0.0443236280783146,3616.77484027954,"S_7"
"EDGE6",-0.18575883983071,0.133152965911277,-1.39507849907366,0.162992169094364,3616.77484027954,"S_7"
"(Intercept)16",-3.10906163500866,0.122423125498554,-25.3960321822152,2.78968610131945e-142,3616.77484027954,"S_7"
"SLOPE6",-0.202255232299863,0.0799170699531023,-2.53081391020156,0.0113798205664543,3616.77484027954,"S_7"
"(Intercept)8",2.28467815595991,0.195589430508673,11.6809898674898,1.59428028054332e-31,2319.75402659005,"S_8"
"ELE7",0.21618337990264,0.180888552341835,1.19511918860463,0.23204046591245,2319.75402659005,"S_8"
"EDGE7",0.0240554786350563,0.158888865282179,0.151398139777353,0.879661656791906,2319.75402659005,"S_8"
"(Intercept)17",-3.80725363493854,0.19569047925024,-19.4554873059,2.61852054117466e-84,2319.75402659005,"S_8"
"SLOPE7",-0.142654431038933,0.109606516273476,-1.30151414248949,0.193082526850749,2319.75402659005,"S_8"
"(Intercept)9",1.5392752097499,0.157362028466293,9.7817448386515,1.34865189377966e-22,2545.07519490544,"S_9"
"ELE8",0.270080205240591,0.222485876834944,1.21392067255108,0.22477801795375,2545.07519490544,"S_9"
"EDGE8",-0.199002914910044,0.200913811952227,-0.990488971247841,0.321935177159835,2545.07519490544,"S_9"
"(Intercept)18",-2.67492391672694,0.137851667538781,-19.4043638679554,7.08905104740133e-84,2545.07519490544,"S_9"
"SLOPE8",-0.160693485370304,0.111947714810859,-1.43543336853104,0.151163642974295,2545.07519490544,"S_9"
