"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.14656885951262,0.145990709252266,14.7034620936284,6.12465994980055e-49,2931.31270075218,"S_1"
"(Intercept)1",-3.02811184307631,0.137924198702759,-21.9548989340312,7.77540645372705e-107,2931.31270075218,"S_1"
"(Intercept)2",2.59760401375097,0.150999828283329,17.2026951505994,2.53462939678981e-66,3347.75317046393,"S_2"
"(Intercept)11",-3.61622043327814,0.148096984130537,-24.4179208274134,1.10344766949544e-131,3347.75317046393,"S_2"
"(Intercept)3",1.90514109877344,0.145613103763345,13.083582792588,4.0871212143311e-39,1984.34739854512,"S_3"
"(Intercept)12",-3.65636449565841,0.135118844041381,-27.0603595049897,2.88478231608791e-161,1984.34739854512,"S_3"
"(Intercept)4",1.76124348721655,0.133684121154311,13.1746648144064,1.227714788343e-39,2397.21751329008,"S_4"
"(Intercept)13",-3.0730851951937,0.114113586360161,-26.9300553353441,9.76950917427331e-160,2397.21751329008,"S_4"
"(Intercept)5",0.855350988974713,0.163553612670126,5.22978963907011,0.000000169703030820903,1218.71791409062,"S_5"
"(Intercept)14",-2.9851648490942,0.113059203000588,-26.4035546852271,1.24726095479356e-153,1218.71791409062,"S_5"
"(Intercept)6",2.14208304408048,0.140600035283637,15.2352952099847,2.06193703089094e-52,3161.84347645548,"S_6"
"(Intercept)15",-3.05410920004127,0.131104823804643,-23.2951703180056,4.96225032882475e-120,3161.84347645548,"S_6"
"(Intercept)7",2.40795877170935,0.123803331798222,19.4498705061824,2.92167919018313e-84,3617.95540097215,"S_7"
"(Intercept)16",-3.05400660580018,0.115663813512374,-26.4041666365554,1.22724144456095e-153,3617.95540097215,"S_7"
"(Intercept)8",2.15405681172755,0.172387264682958,12.4954521187463,7.90456318670929e-36,2318.74071812692,"S_8"
"(Intercept)17",-3.65222798814389,0.167496604949428,-21.8047881582233,2.08971602529211e-105,2318.74071812692,"S_8"
"(Intercept)9",1.51008620920104,0.145695211174193,10.364693506608,3.58907204731055e-25,2541.77144689016,"S_9"
"(Intercept)18",-2.63007716492464,0.120820423204463,-21.768481645473,4.6167196989954e-105,2541.77144689016,"S_9"
