"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.27843844173256,0.16282965652184,13.9927731250047,1.72550230219111e-44,2924.3490561292,"S_1"
"ELE",-0.102020599978043,0.109762132704258,-0.929469913389227,0.352645610363282,2924.3490561292,"S_1"
"(Intercept)1",-3.2108496949168,0.158792959637069,-20.2203529819923,6.48177277759988e-91,2924.3490561292,"S_1"
"ASPECT",0.0790450779339516,0.0793439263172937,0.996233506492393,0.319136702891889,2924.3490561292,"S_1"
"EDGE",-0.240235259749664,0.12121160092619,-1.98194940017294,0.0474849041647631,2924.3490561292,"S_1"
"(Intercept)2",2.65361852020448,0.155146193594685,17.1039872698197,1.38589797624758e-65,3344.88681124217,"S_2"
"ELE1",-0.14728737506636,0.0923441665426672,-1.59498299222081,0.110716039128557,3344.88681124217,"S_2"
"(Intercept)11",-3.68695327345673,0.152945904435597,-24.1062569609979,2.149216345826e-128,3344.88681124217,"S_2"
"ASPECT1",0.161925333288528,0.0696054437071967,2.32633145720162,0.0200008751045774,3344.88681124217,"S_2"
"EDGE1",0.0579478151413388,0.10719532341462,0.540581559861551,0.588796030804684,3344.88681124217,"S_2"
"(Intercept)3",1.91890348083312,0.154200359952244,12.4442217996599,1.50342519843772e-35,1986.33435492613,"S_3"
"ELE2",-0.0456224771004188,0.123331199747625,-0.369918375834962,0.711443309208233,1986.33435492613,"S_3"
"(Intercept)12",-3.69410601619349,0.1469459451381,-25.1392170959311,1.85412576186922e-139,1986.33435492613,"S_3"
"ASPECT2",-0.0883245419664694,0.108096450569314,-0.817090121842936,0.41387692763023,1986.33435492613,"S_3"
"EDGE2",0.221467056959094,0.130037398355161,1.70310279781374,0.0885488324581242,1986.33435492613,"S_3"
"(Intercept)4",1.71231198741286,0.140183815698385,12.2147623024973,2.5925809269026e-34,2398.59617810565,"S_4"
"ELE3",-0.106431283789442,0.119709023887826,-0.889083214722176,0.373958359150812,2398.59617810565,"S_4"
"(Intercept)13",-3.01073296657988,0.122877886992829,-24.5018289316416,1.41230598135088e-132,2398.59617810565,"S_4"
"ASPECT3",0.183571415359227,0.0962346320391977,1.90754005568864,0.0564506891831402,2398.59617810565,"S_4"
"EDGE3",0.050667308111737,0.117838622231301,0.429972000285984,0.667216009067114,2398.59617810565,"S_4"
"(Intercept)5",0.992255848085805,0.201550909591647,4.92310280363492,0.000000851826737118538,1198.01180805335,"S_5"
"ELE4",0.0699942935624375,0.150462570440808,0.465194056949688,0.641792494291335,1198.01180805335,"S_5"
"(Intercept)14",-3.34752521234823,0.183479475073665,-18.2446849218651,2.28047972328441e-74,1198.01180805335,"S_5"
"ASPECT4",0.131359717400832,0.120832693363442,1.0871206603475,0.27698348827448,1198.01180805335,"S_5"
"EDGE4",0.735028761337716,0.162718961719205,4.51716722852566,0.00000626724096315673,1198.01180805335,"S_5"
"(Intercept)6",2.24089677816639,0.156761580084143,14.2949361505771,2.35321525045169e-46,3159.16205796733,"S_6"
"ELE5",-0.00438992806706478,0.130586638513706,-0.0336169773342012,0.973182583964807,3159.16205796733,"S_6"
"(Intercept)15",-3.1932705581569,0.152732143570482,-20.907652335039,4.5613089950443e-97,3159.16205796733,"S_6"
"ASPECT5",-0.197166959814829,0.0777916353729725,-2.53455219021313,0.0112591153943166,3159.16205796733,"S_6"
"EDGE5",-0.14032975337121,0.133801478057505,-1.04879075633903,0.294274432765686,3159.16205796733,"S_6"
"(Intercept)7",2.47319113983873,0.130974055020299,18.8830615304339,1.57204010519257e-79,3619.78230800355,"S_7"
"ELE6",0.12005449461323,0.100067184273727,1.19973891025883,0.230240756302287,3619.78230800355,"S_7"
"(Intercept)16",-3.13152590608115,0.124690302099646,-25.1144303394069,3.45979426004893e-139,3619.78230800355,"S_7"
"ASPECT6",-0.0692743624764781,0.0737666075149244,-0.93910191630356,0.34767842049282,3619.78230800355,"S_7"
"EDGE6",-0.157032706656404,0.112152024621147,-1.40017718972854,0.161460264710518,3619.78230800355,"S_7"
"(Intercept)8",2.17516930205923,0.17899479132641,12.152137422215,5.58851781135614e-34,2319.3149355925,"S_8"
"ELE7",0.125727018643571,0.120934270005155,1.03963102136567,0.298511358816594,2319.3149355925,"S_8"
"(Intercept)17",-3.68384738513304,0.175749024255149,-20.9608411810293,1.49423134199633e-97,2319.3149355925,"S_8"
"ASPECT7",0.115850787024969,0.0847706265029695,1.36663832513861,0.171738698205631,2319.3149355925,"S_8"
"EDGE7",0.0218380221023446,0.135041922517567,0.161712908815437,0.871531938583765,2319.3149355925,"S_8"
"(Intercept)9",1.50115077251572,0.147893693673809,10.1502013725252,3.3068038532969e-24,2543.50260195238,"S_9"
"ELE8",0.0119500104545642,0.1201938760274,0.099422789658934,0.92080258887672,2543.50260195238,"S_9"
"(Intercept)18",-2.63609878780682,0.124369160704755,-21.1957592450493,1.04499605638948e-99,2543.50260195238,"S_9"
"ASPECT8",-0.183901874152951,0.0990855183732798,-1.8559914422625,0.0634547778533837,2543.50260195238,"S_9"
"EDGE8",-0.0225072037107058,0.105589766129208,-0.213157056178762,0.831204462688047,2543.50260195238,"S_9"
