"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.22092525186846,0.154452865693671,14.3793075116732,6.9789346313567e-47,2929.03230353397,"S_1"
"ASPECT",-0.0357423844969145,0.0822187280125171,-0.434723150806627,0.66376339213981,2929.03230353397,"S_1"
"(Intercept)1",-3.13483249116279,0.149252459765783,-21.0035566320459,6.08548407237837e-98,2929.03230353397,"S_1"
"SLOPE",-0.229633079071396,0.0885361229961118,-2.59366540232941,0.00949588510329042,2929.03230353397,"S_1"
"(Intercept)2",2.61438243372182,0.154170972813932,16.9576826688192,1.68874405911991e-64,3348.49826079021,"S_2"
"ASPECT1",0.125389176698535,0.070082851898583,1.78915631001982,0.0735896456340563,3348.49826079021,"S_2"
"(Intercept)11",-3.64111245753362,0.15156216472795,-24.0238879147003,1.56540770602054e-127,3348.49826079021,"S_2"
"SLOPE1",-0.00702099597989159,0.0761334672730474,-0.0922195747989681,0.92652358587437,3348.49826079021,"S_2"
"(Intercept)3",1.89852086066878,0.147494397211557,12.8718168049845,6.48583744762707e-38,1985.8215930938,"S_3"
"ASPECT2",-0.156273335013837,0.098995231690774,-1.5785945680897,0.114429081389809,1985.8215930938,"S_3"
"(Intercept)12",-3.65978708698027,0.136456949408053,-26.8200857695877,1.88441327368106e-158,1985.8215930938,"S_3"
"SLOPE2",-0.0324613390175767,0.0890632853012574,-0.364474978749952,0.715503354825924,1985.8215930938,"S_3"
"(Intercept)4",1.83366604830715,0.150984487338811,12.1447314265629,6.1183165512734e-34,2399.92295233265,"S_4"
"ASPECT3",-0.0453047573761539,0.0961564653740533,-0.471156642456814,0.637528878367778,2399.92295233265,"S_4"
"(Intercept)13",-3.17264509634272,0.147163786609406,-21.5585992276984,4.39715608534874e-103,2399.92295233265,"S_4"
"SLOPE3",-0.110065113636987,0.100375748078202,-1.09653094242682,0.272846489896146,2399.92295233265,"S_4"
"(Intercept)5",0.837410343482743,0.175371956073389,4.7750527634664,0.00000179660142905931,1214.1482721523,"S_5"
"ASPECT4",0.396696269736976,0.166590801520198,2.3812615469581,0.0172534569939813,1214.1482721523,"S_5"
"(Intercept)14",-3.06321784308745,0.1254532732806,-24.4172014247565,1.12303511718856e-131,1214.1482721523,"S_5"
"SLOPE4",0.255670850280168,0.117937811030596,2.16784462969082,0.0301705098884997,1214.1482721523,"S_5"
"(Intercept)6",2.20054879839464,0.148952914376848,14.7734524537553,2.17290986305618e-49,3155.51594116332,"S_6"
"ASPECT5",-0.240912482429044,0.0826744794271436,-2.91398850163123,0.00356843049758128,3155.51594116332,"S_6"
"(Intercept)15",-3.1562866193154,0.141675773575439,-22.2782381183524,6.00748946300762e-110,3155.51594116332,"S_6"
"SLOPE5",-0.139832589312752,0.0740016026948065,-1.88958866052459,0.0588129949080902,3155.51594116332,"S_6"
"(Intercept)7",2.44636205707121,0.129000550374283,18.9639660448992,3.38620493392372e-80,3610.46711864346,"S_7"
"ASPECT6",-0.214034600111424,0.0726317351399275,-2.94684685281274,0.00321032155001544,3610.46711864346,"S_7"
"(Intercept)16",-3.11789557520896,0.121801001487464,-25.5982753600745,1.59450931176881e-144,3610.46711864346,"S_7"
"SLOPE6",-0.143515216683266,0.0653360897868219,-2.19656880525795,0.0280512561566643,3610.46711864346,"S_7"
"(Intercept)8",2.1463801194701,0.17529355960672,12.2444893257094,1.79805267956033e-34,2322.63706161047,"S_8"
"ASPECT7",0.0174622344396904,0.0889452082627805,0.196325746836186,0.844355210448281,2322.63706161047,"S_8"
"(Intercept)17",-3.64376745116711,0.171263361734031,-21.2758141278682,1.90182986991536e-100,2322.63706161047,"S_8"
"SLOPE7",0.0253494730868592,0.0902136527654032,0.280993755488202,0.778715189360265,2322.63706161047,"S_8"
"(Intercept)9",1.54183188124034,0.15595162201898,9.88660368696069,4.75899976999821e-23,2542.05075539112,"S_9"
"ASPECT8",-0.17523786965919,0.10994583403103,-1.59385638577021,0.110968204954045,2542.05075539112,"S_9"
"(Intercept)18",-2.68345873724991,0.136144515709642,-19.7103696998928,1.75678820707928e-86,2542.05075539112,"S_9"
"SLOPE8",-0.137899229500791,0.0971083350100842,-1.42005554401144,0.155591511259376,2542.05075539112,"S_9"
