"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.2061257187559,0.1545279598895,14.2765472367166,3.06410880938283e-46,2922.49748201925,"S_1"
"EDGE",-0.296549991292047,0.0899713290291928,-3.29604991381006,0.00098054592316727,2922.49748201925,"S_1"
"(Intercept)1",-3.12845676268713,0.146753492280206,-21.3177670532962,7.76772719765345e-101,2922.49748201925,"S_1"
"ASPECT",0.110778749535202,0.0814014281955562,1.36089442152134,0.173547056693051,2922.49748201925,"S_1"
"(Intercept)2",2.6575837736827,0.156053170007767,17.0299890322666,4.92134476198542e-65,3342.77329630554,"S_2"
"EDGE1",-0.123485915162856,0.0703430717813404,-1.75548084602715,0.0791770941115464,3342.77329630554,"S_2"
"(Intercept)11",-3.69425636694785,0.154144789359894,-23.9661449620757,6.27195163754847e-127,3342.77329630554,"S_2"
"ASPECT1",0.181322781733263,0.0696777677582198,2.60230468866984,0.00925995428052747,3342.77329630554,"S_2"
"(Intercept)3",1.94881653951032,0.153808196061828,12.6704336271321,8.6236366753092e-37,1985.66939756227,"S_3"
"EDGE2",0.144829306178957,0.0920712435827045,1.57301346808531,0.115715699699478,1985.66939756227,"S_3"
"(Intercept)12",-3.71923426836827,0.148367721766767,-25.0676779563609,1.12024570744125e-138,1985.66939756227,"S_3"
"ASPECT2",-0.083908721175016,0.108094806447671,-0.776251181092926,0.437600691783848,1985.66939756227,"S_3"
"(Intercept)4",1.72807503870547,0.136694229080072,12.6419019320356,1.24017286202995e-36,2396.75917620379,"S_4"
"EDGE3",-0.0837134575918244,0.105136668040592,-0.796234645361825,0.425895663938738,2396.75917620379,"S_4"
"(Intercept)13",-3.02719059582497,0.118507315738036,-25.544335191227,6.34704640459586e-144,2396.75917620379,"S_4"
"ASPECT3",0.198438496478242,0.0962534573215684,2.06162461069101,0.0392434890866411,2396.75917620379,"S_4"
"(Intercept)5",0.838851160735779,0.167939926084027,4.99494777862454,0.000000588516900828989,1216.89081833743,"S_5"
"EDGE4",0.333535902936931,0.133285398831542,2.50241891355619,0.0123347877319203,1216.89081833743,"S_5"
"(Intercept)14",-3.0335927213901,0.120616501891388,-25.1507270880876,1.38754855046895e-139,1216.89081833743,"S_5"
"ASPECT4",0.0258213443513664,0.106417559371395,0.242641764234137,0.808282924662137,1216.89081833743,"S_5"
"(Intercept)6",2.18853069122264,0.148788756328203,14.7089789929766,5.64527407925989e-49,3155.70858567366,"S_6"
"EDGE5",-0.174939100382637,0.0871494655692799,-2.00734564738746,0.0447128718655166,3155.70858567366,"S_6"
"(Intercept)15",-3.13991168090212,0.140771448929124,-22.3050320557758,3.30200241195829e-110,3155.70858567366,"S_6"
"ASPECT5",-0.187020487194084,0.0793294025297423,-2.35751790925144,0.018397567851236,3155.70858567366,"S_6"
"(Intercept)7",2.43043692509886,0.127166135971599,19.1122967331622,1.99492588094283e-81,3619.85623407362,"S_7"
"EDGE6",-0.00555252107398886,0.0721892670714064,-0.076916158027987,0.938690243379167,3619.85623407362,"S_7"
"(Intercept)16",-3.08993554780525,0.12082923734034,-25.5727472573698,3.06703206149613e-144,3619.85623407362,"S_7"
"ASPECT6",-0.102367496102359,0.0721588063662717,-1.41864176054619,0.156003484390665,3619.85623407362,"S_7"
"(Intercept)8",2.16330365984093,0.176254416005963,12.2737557949626,1.25303228370626e-34,2318.05241507253,"S_8"
"EDGE7",0.124329922803389,0.0843351560631537,1.47423599608075,0.140418061186833,2318.05241507253,"S_8"
"(Intercept)17",-3.66953463648957,0.172778728381707,-21.2383472830217,4.22494861770064e-100,2318.05241507253,"S_8"
"ASPECT7",0.108894408824097,0.0838394161578378,1.29884502796501,0.193997118273475,2318.05241507253,"S_8"
"(Intercept)9",1.49353284913582,0.145256034725965,10.2820709098487,8.48838036426797e-25,2541.42827702357,"S_9"
"EDGE8",-0.0381066792733103,0.111187008346574,-0.342726005852505,0.73180459651119,2541.42827702357,"S_9"
"(Intercept)18",-2.62818849630803,0.119611909440797,-21.97263222864,5.26284488088473e-107,2541.42827702357,"S_9"
"ASPECT8",-0.190837569369254,0.0929282581476733,-2.05360105928158,0.0400143195474325,2541.42827702357,"S_9"
