"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.27765474944336,0.160514444904011,14.1897182574778,1.06084076271326e-45,2923.3415921184,"S_1"
"ASPECT",0.0197616593579602,0.0796103382672336,0.24822981271132,0.80395660084649,2923.3415921184,"S_1"
"SLOPE",-0.149548540720597,0.0942821784128114,-1.58618037086292,0.11269839922501,2923.3415921184,"S_1"
"(Intercept)1",-3.21660556614574,0.155824409006371,-20.6425013042354,1.14007270462801e-94,2923.3415921184,"S_1"
"EDGE",-0.248758077569463,0.101776796627597,-2.44415314504025,0.0145192618418918,2923.3415921184,"S_1"
"(Intercept)2",2.65496978009899,0.164671774621629,16.1227981310057,1.76436224770394e-58,3349.02308148448,"S_2"
"ASPECT1",0.146959810434402,0.0714762492710052,2.05606494371574,0.0397762567360451,3349.02308148448,"S_2"
"SLOPE1",0.0681904512457286,0.0833465934460853,0.818155228981725,0.413268556026934,3349.02308148448,"S_2"
"(Intercept)11",-3.69132912297278,0.164047349564178,-22.5016078149356,4.00286278252253e-112,3349.02308148448,"S_2"
"EDGE1",-0.119521125748854,0.0981330128954228,-1.21795023124607,0.22324288602488,3349.02308148448,"S_2"
"(Intercept)3",1.90945498632837,0.155971999534533,12.2422934374552,1.8473762515341e-34,1983.64084350667,"S_3"
"ASPECT2",-0.177539649495457,0.0995564547788881,-1.7833062646693,0.0745364621841925,1983.64084350667,"S_3"
"SLOPE2",-0.0845369454887934,0.113098995065141,-0.74745974038145,0.454786095960604,1983.64084350667,"S_3"
"(Intercept)12",-3.69050823986361,0.146938979719426,-25.1159239495911,3.33221603018056e-139,1983.64084350667,"S_3"
"EDGE2",0.243455620511949,0.119155789093225,2.04317072938415,0.0410355402166091,1983.64084350667,"S_3"
"(Intercept)4",1.71748428317357,0.144125969872052,11.9165497009197,9.70448344347832e-33,2390.48603507065,"S_4"
"ASPECT3",-0.093261693035803,0.102565966566228,-0.909284981734979,0.363199715988652,2390.48603507065,"S_4"
"SLOPE3",-0.394531322393188,0.114344870427555,-3.45036310695853,0.000559833011409069,2390.48603507065,"S_4"
"(Intercept)13",-3.08192431896814,0.12050226306972,-25.5756550993986,2.84690159895855e-144,2390.48603507065,"S_4"
"EDGE3",0.189448519642897,0.104902081153392,1.80595577856914,0.0709252472905133,2390.48603507065,"S_4"
"(Intercept)5",0.971438785776032,0.204645236909163,4.74694061023872,0.00000206516557861024,1193.84318513184,"S_5"
"ASPECT4",0.364130549564016,0.161093283589134,2.26037077059479,0.0237982490201264,1193.84318513184,"S_5"
"SLOPE4",-0.0678637610470247,0.171835956473967,-0.394933414633194,0.692892028993032,1193.84318513184,"S_5"
"(Intercept)14",-3.3617347219789,0.179719867197917,-18.7054151240652,4.47236555958137e-78,1193.84318513184,"S_5"
"EDGE4",0.787278212321047,0.162550745596861,4.84327653761466,0.00000127715341505277,1193.84318513184,"S_5"
"(Intercept)6",2.19546642138673,0.152292895557694,14.4160790517967,4.09981149127721e-47,3154.89079298967,"S_6"
"ASPECT5",-0.235408047613752,0.0823519920679345,-2.85855923703165,0.00425569642693511,3154.89079298967,"S_6"
"SLOPE5",-0.200556153535713,0.10319032219525,-1.94355584195419,0.0519490352232575,3154.89079298967,"S_6"
"(Intercept)15",-3.15191110700705,0.145576642282829,-21.6512144914255,5.91996378732592e-104,3154.89079298967,"S_6"
"EDGE5",0.00354099175135733,0.108531719130545,0.0326263306222774,0.973972572204396,3154.89079298967,"S_6"
"(Intercept)7",2.43244282492096,0.127652317533401,19.0552186746199,5.94675360613107e-81,3615.55236676364,"S_7"
"ASPECT6",-0.195051996136727,0.0744577899079783,-2.61963182600222,0.00880247436731175,3615.55236676364,"S_7"
"SLOPE6",-0.082173927222368,0.082765471559433,-0.992852764251573,0.320781711967642,3615.55236676364,"S_7"
"(Intercept)16",-3.10035250453116,0.119854647506392,-25.8676035434154,1.54230876526669e-147,3615.55236676364,"S_7"
"EDGE6",-0.010242972607831,0.0877291255295051,-0.116756807343145,0.907052772318198,3615.55236676364,"S_7"
"(Intercept)8",2.17794749629566,0.182579124571728,11.9287870472839,8.37854047290583e-33,2319.71432425137,"S_8"
"ASPECT7",-0.0419239850453984,0.0905841358155498,-0.462818181880824,0.643494697544209,2319.71432425137,"S_8"
"SLOPE7",-0.150651224576519,0.101932249288929,-1.47795448081887,0.139419962370407,2319.71432425137,"S_8"
"(Intercept)17",-3.69711176550437,0.178340005431547,-20.7306922334005,1.83136838099828e-95,2319.71432425137,"S_8"
"EDGE7",0.232652231544186,0.104815946906249,2.21962629171568,0.0264441460285982,2319.71432425137,"S_8"
"(Intercept)9",1.50956422660296,0.148791646430482,10.1454904412813,3.47030867935998e-24,2544.76224088396,"S_9"
"ASPECT8",-0.152523506907312,0.109446810329162,-1.39358567370393,0.163442757175313,2544.76224088396,"S_9"
"SLOPE8",-0.0894705679957262,0.116079421674108,-0.770770276982548,0.440843107980571,2544.76224088396,"S_9"
"(Intercept)18",-2.64523388941126,0.1250802687098,-21.148290747188,2.86122392980399e-99,2544.76224088396,"S_9"
"EDGE8",-0.0401691755134215,0.0853101105854424,-0.470860666312114,0.637740238386026,2544.76224088396,"S_9"
