"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.19160238841953,0.15214757877576,14.4044512969187,4.85155534415103e-47,2924.04145591245,"S_1"
"EDGE",-0.34204215530314,0.110059323472938,-3.10779809024759,0.00188486793480578,2924.04145591245,"S_1"
"(Intercept)1",-3.10620305447866,0.145389225549805,-21.3647403563243,2.84429984782312e-101,2924.04145591245,"S_1"
"ASPECT",0.119629836519804,0.082281085067479,1.45391661305506,0.145969426308909,2924.04145591245,"S_1"
"ELE",0.0851793838684379,0.120881908119356,0.704649564137699,0.481028345691131,2924.04145591245,"S_1"
"(Intercept)2",2.66355652947417,0.156235607229144,17.0483321741608,3.59649888653348e-65,3344.26178753418,"S_2"
"EDGE1",-0.171586808172451,0.0961491161553678,-1.78459059254568,0.0743277484528689,3344.26178753418,"S_2"
"(Intercept)11",-3.69737349577425,0.15403319223254,-24.0037451810544,2.54132634835643e-127,3344.26178753418,"S_2"
"ASPECT1",0.193959643245512,0.0711286095653431,2.72688647269744,0.00639350321536189,3344.26178753418,"S_2"
"ELE1",0.0808730390504858,0.111057538579381,0.728208459191449,0.466485988373843,3344.26178753418,"S_2"
"(Intercept)3",1.92083531938749,0.158889254822167,12.0891454965745,1.20533819340904e-33,1987.41705732395,"S_3"
"EDGE2",0.0882019848494587,0.139769091224328,0.631055007060865,0.528004558497931,1987.41705732395,"S_3"
"(Intercept)12",-3.68869260317116,0.154743798975678,-23.8374178971199,1.3676453608948e-125,1987.41705732395,"S_3"
"ASPECT2",-0.0633000180629075,0.114486651217155,-0.552903044939641,0.580329802298352,1987.41705732395,"S_3"
"ELE2",0.0852204072659786,0.162837646719086,0.523345853879808,0.600733596878353,1987.41705732395,"S_3"
"(Intercept)4",1.6437189038823,0.143585878632341,11.4476362128279,2.41645198758808e-30,2395.34842599165,"S_4"
"EDGE3",-0.199514364328752,0.125723154152141,-1.58693413058436,0.112527563849966,2395.34842599165,"S_4"
"(Intercept)13",-2.92748588410887,0.128167278759421,-22.8411331850461,1.79022463794418e-115,2395.34842599165,"S_4"
"ASPECT3",0.200432530945908,0.100647424321377,1.99143229245397,0.0464333820028861,2395.34842599165,"S_4"
"ELE3",0.219029139426551,0.110722070918782,1.97818860873019,0.0479074333161071,2395.34842599165,"S_4"
"(Intercept)5",0.984054475498214,0.203464168868062,4.83650011190093,0.00000132145198495411,1194.01856621081,"S_5"
"EDGE4",0.105186162533512,0.15079488294849,0.697544641282308,0.485462012252148,1194.01856621081,"S_5"
"(Intercept)14",-3.33944289794126,0.183979322796093,-18.1511859440988,1.25658336469621e-73,1194.01856621081,"S_5"
"ASPECT4",0.155644413413473,0.119665105528746,1.30066666239712,0.193372578178503,1194.01856621081,"S_5"
"ELE4",0.780891262236398,0.161482179581793,4.83577360832477,0.00000132628803344262,1194.01856621081,"S_5"
"(Intercept)6",2.17825840206924,0.151122354287769,14.4138728670239,4.23293118506378e-47,3157.42019043062,"S_6"
"EDGE5",-0.221182152813902,0.122406639869523,-1.80694571021365,0.0707707444488812,3157.42019043062,"S_6"
"(Intercept)15",-3.12944756858931,0.143240356449088,-21.8475270947935,8.20576120511522e-106,3157.42019043062,"S_6"
"ASPECT5",-0.181918375258519,0.0802710500881155,-2.26630117656145,0.0234329494439643,3157.42019043062,"S_6"
"ELE5",0.0629684150031062,0.116885505223284,0.538718764852999,0.590080923807506,3157.42019043062,"S_6"
"(Intercept)7",2.47131078527273,0.130937838487289,18.8739237933322,1.86892286853837e-79,3619.46424143798,"S_7"
"EDGE6",0.101082227139692,0.101123902921083,0.999587874081333,0.317509993775368,3619.46424143798,"S_7"
"(Intercept)16",-3.12708105149563,0.124445931831135,-25.1280295424913,2.45724493279004e-139,3619.46424143798,"S_7"
"ASPECT6",-0.112875477983158,0.0711130784737913,-1.5872674957358,0.112452073668657,3619.46424143798,"S_7"
"ELE6",-0.163010770293469,0.106721982729908,-1.52743386248752,0.126653161463939,3619.46424143798,"S_7"
"(Intercept)8",2.14645258285924,0.179822041881708,11.9365377035994,7.63350455306242e-33,2319.62874608814,"S_8"
"EDGE7",0.0582841253681405,0.129841430732146,0.448886961884892,0.653513201933213,2319.62874608814,"S_8"
"(Intercept)17",-3.65623298009586,0.175777590453647,-20.8003362127097,4.29785917770782e-96,2319.62874608814,"S_8"
"ASPECT7",0.104630619726359,0.0851593201835073,1.22864554931736,0.21920472970373,2319.62874608814,"S_8"
"ELE7",0.099245923982723,0.150873416145731,0.657809218602568,0.510660730007274,2319.62874608814,"S_8"
"(Intercept)9",1.52150117705017,0.151585533012111,10.0372452886293,1.04553184869659e-23,2542.37410469079,"S_9"
"EDGE8",0.0369790873448497,0.137922319178916,0.268115324372408,0.788610550400116,2542.37410469079,"S_9"
"(Intercept)18",-2.65408826983208,0.126836424242269,-20.9252845599189,3.15177754818794e-97,2542.37410469079,"S_9"
"ASPECT8",-0.201986237959288,0.0972853501899609,-2.0762246069412,0.0378731824515056,2542.37410469079,"S_9"
"ELE8",-0.131924447224781,0.135237443546102,-0.975502373939864,0.329311124703439,2542.37410469079,"S_9"
