"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.18198368347981,0.153632475254546,14.2026201157313,8.82501120931904e-46,2922.80841014582,"S_1"
"SLOPE",-0.212347437334983,0.115675500379888,-1.83571660928732,0.0663995801870985,2922.80841014582,"S_1"
"EDGE",-0.274741258945569,0.112110703414682,-2.45062470020672,0.0142608556304611,2922.80841014582,"S_1"
"(Intercept)1",-3.09932159231451,0.144966488803039,-21.3795727406039,2.07016000264679e-101,2922.80841014582,"S_1"
"ELE",0.18893952755421,0.132039571737157,1.43093108428373,0.152449967271355,2922.80841014582,"S_1"
"(Intercept)2",2.62824955296265,0.156669772132172,16.7757284458509,3.67326766279525e-63,3350.250943516,"S_2"
"SLOPE1",0.0970398333303658,0.0885507835702988,1.09586645558396,0.273137220749061,3350.250943516,"S_2"
"EDGE1",-0.129937029359161,0.104722871209349,-1.2407703098534,0.214690612189041,3350.250943516,"S_2"
"(Intercept)11",-3.65797279658571,0.155292857261025,-23.5553190346494,1.10729122446102e-122,3350.250943516,"S_2"
"ELE1",-0.0516320293735958,0.127607413302178,-0.404616221248288,0.685759633074175,3350.250943516,"S_2"
"(Intercept)3",1.89729841899138,0.148881234657101,12.7437042241165,3.3795937796613e-37,1987.11466461297,"S_3"
"SLOPE2",-0.109657982500693,0.140860212810301,-0.778487979770208,0.43628139017248,1987.11466461297,"S_3"
"EDGE2",0.0781477029677667,0.1232612637686,0.63400050087491,0.526080495235162,1987.11466461297,"S_3"
"(Intercept)12",-3.65883658082188,0.139240567542509,-26.2770875284236,3.50551653750432e-152,1987.11466461297,"S_3"
"ELE2",0.186381834278924,0.165465029341386,1.12641223961821,0.259991068426538,1987.11466461297,"S_3"
"(Intercept)4",1.6949589916467,0.152320823689522,11.12755925678,9.21234865546935e-29,2383.83146086806,"S_4"
"SLOPE3",-0.514401854376101,0.13335963410414,-3.85725304235918,0.00011466843754271,2383.83146086806,"S_4"
"EDGE3",0.0447365215970865,0.124634510130242,0.358941689186545,0.719638711472939,2383.83146086806,"S_4"
"(Intercept)13",-3.06914951738799,0.13166433900922,-23.3104084255727,3.47681759401114e-120,2383.83146086806,"S_4"
"ELE3",0.322397897859591,0.110176061562178,2.92620641261211,0.00343123194696692,2383.83146086806,"S_4"
"(Intercept)5",1.03405263546708,0.219395724466602,4.71318499018652,0.00000243874609754161,1192.52092381594,"S_5"
"SLOPE4",-0.351956437350356,0.199370126853704,-1.76534189401715,0.0775063225943532,1192.52092381594,"S_5"
"EDGE4",0.236191449238917,0.161356138398367,1.46378967409217,0.143251424657375,1192.52092381594,"S_5"
"(Intercept)14",-3.37931316774584,0.202671445610812,-16.6738494293621,2.03084164849893e-62,1192.52092381594,"S_5"
"ELE4",0.878005584533387,0.190105303703406,4.61852230016271,0.00000386482450690508,1192.52092381594,"S_5"
"(Intercept)6",2.16967130761304,0.15472288654784,14.0229500368206,1.12825402566798e-44,3157.00444364784,"S_6"
"SLOPE5",-0.315060873134497,0.137663972758003,-2.28862255550576,0.0221012922149856,3157.00444364784,"S_6"
"EDGE5",-0.24184538803308,0.115160280555211,-2.10007640539858,0.0357221204964573,3157.00444364784,"S_6"
"(Intercept)15",-3.12369772887521,0.146990207993334,-21.2510599958936,3.22306738482403e-100,3157.00444364784,"S_6"
"ELE5",0.306649740210453,0.146126401846682,2.09852385561504,0.0358588948277115,3157.00444364784,"S_6"
"(Intercept)7",2.43047078477959,0.12605387377773,19.2812066138104,7.72532763284136e-83,3621.87851464873,"S_7"
"SLOPE6",-0.0250651553317842,0.101787865142249,-0.246248954104259,0.805489522095628,3621.87851464873,"S_7"
"EDGE6",0.0669805556130654,0.0958281993972055,0.698964981439677,0.484573915774725,3621.87851464873,"S_7"
"(Intercept)16",-3.07308702847694,0.117153139289555,-26.2313673121598,1.16630212838505e-151,3621.87851464873,"S_7"
"ELE6",-0.123257739969021,0.119619273954452,-1.03041705482977,0.302814270608271,3621.87851464873,"S_7"
"(Intercept)8",2.19228679892226,0.201040738229708,10.9046893591157,1.0946651856125e-27,2315.5608155818,"S_8"
"SLOPE7",-0.295156870186366,0.126504931869801,-2.33316492743651,0.0196394908341979,2315.5608155818,"S_8"
"EDGE7",0.0675946302996109,0.121227129941214,0.55758665846819,0.577126668873599,2315.5608155818,"S_8"
"(Intercept)17",-3.72838693059095,0.198244276339966,-18.80703442957,6.61354947925138e-79,2315.5608155818,"S_8"
"ELE7",0.347704500055658,0.168327782091028,2.06563940744865,0.0388625405445991,2315.5608155818,"S_8"
"(Intercept)9",1.50506772004637,0.148706283791863,10.1210768077087,4.45487178804235e-24,2546.47250562314,"S_9"
"SLOPE8",-0.0642692588851047,0.142202768856972,-0.451955045613401,0.651301368081827,2546.47250562314,"S_9"
"EDGE8",0.0263752897007807,0.131612018088876,0.200401833235091,0.841166325856684,2546.47250562314,"S_9"
"(Intercept)18",-2.62517193883562,0.124438454501259,-21.0961470821631,8.62872806780485e-99,2546.47250562314,"S_9"
"ELE8",-0.0759025869293947,0.10600419348862,-0.716033813676844,0.473970470122228,2546.47250562314,"S_9"
