"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.18206353827202,0.151909519413546,14.3642317262011,8.6763510591692e-47,2926.19088679424,"S_1"
"ELE",-0.236375385582428,0.0856456565726715,-2.75992262820544,0.00578150523073092,2926.19088679424,"S_1"
"(Intercept)1",-3.09057992585287,0.143630198263626,-21.5176192974423,1.06491785568313e-102,2926.19088679424,"S_1"
"ASPECT",0.0867697377156875,0.0813657219616791,1.06641636826566,0.286235465693792,2926.19088679424,"S_1"
"(Intercept)2",2.65029943414069,0.155836469649564,17.0069268130915,7.29661947442689e-65,3343.1750918486,"S_2"
"ELE1",-0.113977164767973,0.0693104563067814,-1.64444401092222,0.100084520490605,3343.1750918486,"S_2"
"(Intercept)11",-3.68620949100391,0.153770006946674,-23.9722268613948,5.41978709954433e-127,3343.1750918486,"S_2"
"ASPECT1",0.165974353451834,0.0695585693351059,2.38610936133885,0.0170276866514603,3343.1750918486,"S_2"
"(Intercept)3",1.93282139781522,0.150989400758448,12.8010402591592,1.61769562563164e-37,1987.082125891,"S_3"
"ELE2",0.0919738728509665,0.0936131380516033,0.982488940817974,0.325859028636476,1987.082125891,"S_3"
"(Intercept)12",-3.6951243593635,0.144348975653549,-25.5985492285871,1.58335305016706e-144,1987.082125891,"S_3"
"ASPECT2",-0.0629406624317291,0.107101030162445,-0.587675602524683,0.556750054567744,1987.082125891,"S_3"
"(Intercept)4",1.72314723661682,0.13738652275646,12.5423309509869,4.37922108533031e-36,2396.78110764124,"S_4"
"ELE3",-0.0798106096524043,0.101852443242586,-0.783590526761507,0.43328041620487,2396.78110764124,"S_4"
"(Intercept)13",-3.02323634753259,0.118746089451841,-25.4596708109593,5.51695203528989e-143,2396.78110764124,"S_4"
"ASPECT3",0.188906407730479,0.0946801433758451,1.99520618574256,0.0460203966746645,2396.78110764124,"S_4"
"(Intercept)5",0.846090823133518,0.166742993643597,5.07422113904221,0.0000003890863623037,1218.64583430928,"S_5"
"ELE4",0.281980985722458,0.135754672993056,2.07713649560249,0.03778896302554,1218.64583430928,"S_5"
"(Intercept)14",-3.02404692114009,0.120546661643307,-25.0861108878163,7.05093140915097e-139,1218.64583430928,"S_5"
"ASPECT4",0.0287635452928635,0.107356606016819,0.267925248012751,0.788756858854361,1218.64583430928,"S_5"
"(Intercept)6",2.18588320618978,0.147459027234204,14.8236648999319,1.03007604051694e-49,3158.26771942731,"S_6"
"ELE5",-0.107867165029969,0.0840576467071465,-1.28325225908089,0.199403712578264,3158.26771942731,"S_6"
"(Intercept)15",-3.12845991252146,0.139786703833411,-22.380239512978,6.13143365812775e-111,3158.26771942731,"S_6"
"ASPECT5",-0.194676918736365,0.079359825778527,-2.45309155894141,0.0141634283140578,3158.26771942731,"S_6"
"(Intercept)7",2.43242720484975,0.127270437301189,19.1122719182095,1.99587481709489e-81,3619.76903322226,"S_7"
"ELE6",0.0214950378436154,0.0702352144322624,0.306043599601252,0.759571449691304,3619.76903322226,"S_7"
"(Intercept)16",-3.09240948538062,0.120989341788516,-25.5593545651816,4.32162221743594e-144,3619.76903322226,"S_7"
"ASPECT6",-0.104057639523488,0.071236424810374,-1.46073641118967,0.144087792557671,3619.76903322226,"S_7"
"(Intercept)8",2.17872378238122,0.177597563296083,12.2677571805923,1.34939526972e-34,2317.34099391905,"S_8"
"ELE7",0.140195939971838,0.0817023156736643,1.71593594154429,0.0861737675191798,2317.34099391905,"S_8"
"(Intercept)17",-3.68681785191034,0.174788116257019,-21.0930693165033,9.20886515996069e-99,2317.34099391905,"S_8"
"ASPECT7",0.118912036252471,0.0823970152430502,1.44315951132103,0.148975542208333,2317.34099391905,"S_8"
"(Intercept)9",1.49548195778649,0.145074612791406,10.3083642893244,6.45912765470041e-25,2541.54703859886,"S_9"
"ELE8",0.000598902006518333,0.107853656649747,0.00555291331904726,0.995569438964545,2541.54703859886,"S_9"
"(Intercept)18",-2.62914478821166,0.119646804286689,-21.9742165608695,5.08241591001248e-107,2541.54703859886,"S_9"
"ASPECT8",-0.191811478937998,0.0929469532183741,-2.06366612671366,0.039049383123209,2541.54703859886,"S_9"
