"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.26161654962744,0.162476447999714,13.9196577563747,4.81202740486958e-44,2923.33000863591,"S_1"
"ELE",-0.0981338715032965,0.110989478726493,-0.884172739878557,0.376602971498154,2923.33000863591,"S_1"
"(Intercept)1",-3.1931730949218,0.158024403929927,-20.2068352451293,8.52413546935026e-91,2923.33000863591,"S_1"
"EDGE",-0.245418467515067,0.121645883217787,-2.01748272134853,0.0436451623937491,2923.33000863591,"S_1"
"(Intercept)2",2.61760718166151,0.152317673296209,17.185183603554,3.42859859845264e-66,3348.25621433036,"S_2"
"ELE1",-0.166082434694728,0.0933400963353287,-1.77932572619241,0.0751863755879687,3348.25621433036,"S_2"
"(Intercept)11",-3.64059225714047,0.149466821576998,-24.3571932468304,4.86427976663127e-131,3348.25621433036,"S_2"
"EDGE1",0.0800031212386968,0.107225879737219,0.746117648414381,0.455596349153108,3348.25621433036,"S_2"
"(Intercept)3",1.89869325893457,0.150582527251427,12.6089878659317,1.88396903213105e-36,1984.99513124872,"S_3"
"ELE2",-0.0325609750778001,0.121626411577126,-0.267713029230928,0.788920219912604,1984.99513124872,"S_3"
"(Intercept)12",-3.66408607988732,0.140823183200078,-26.0190545095226,3.01466247306587e-149,1984.99513124872,"S_3"
"EDGE2",0.204446967443528,0.127730130339594,1.60061660392868,0.109461862416156,1984.99513124872,"S_3"
"(Intercept)4",1.74223288303476,0.135763288082526,12.8328718878385,1.07311313391449e-37,2400.21813080285,"S_4"
"ELE3",-0.111950873310042,0.117278058148109,-0.954576457675149,0.339791927305804,2400.21813080285,"S_4"
"(Intercept)13",-3.05366767759584,0.115686436420545,-26.3960734903712,1.5200369402988e-153,2400.21813080285,"S_4"
"EDGE3",0.0869234278404734,0.11568294715896,0.751393614834446,0.452415804330439,2400.21813080285,"S_4"
"(Intercept)5",0.953152662209154,0.193180783794413,4.93399314097161,0.000000805652701001608,1197.17900254289,"S_5"
"ELE4",0.0713667974146993,0.150998704895893,0.472631851140072,0.636475854450089,1197.17900254289,"S_5"
"(Intercept)14",-3.27414724727776,0.16555981714038,-19.7762192772995,4.77152690787879e-87,1197.17900254289,"S_5"
"EDGE4",0.703617340979015,0.159294345507134,4.41708924908136,0.0000100038931212559,1197.17900254289,"S_5"
"(Intercept)6",2.1807127012154,0.148939239910508,14.6416263606939,1.52379172868369e-48,3163.41083912947,"S_6"
"ELE5",-0.028412632383055,0.125945040954637,-0.225595483297264,0.821516054107796,3163.41083912947,"S_6"
"(Intercept)15",-3.10776014922938,0.143383550105397,-21.6744539170983,3.57451767822345e-104,3163.41083912947,"S_6"
"EDGE5",-0.114023366437456,0.131290107911077,-0.86848406366369,0.38512939275456,3163.41083912947,"S_6"
"(Intercept)7",2.46452706500427,0.129566216788693,19.0213708950352,1.13477293365505e-80,3618.66859080032,"S_7"
"ELE6",0.135945088303849,0.0982865239263602,1.38315084177465,0.166618619138622,3618.66859080032,"S_7"
"(Intercept)16",-3.11358131713577,0.122264752180561,-25.4658948029241,4.70723976022759e-143,3618.66859080032,"S_7"
"EDGE6",-0.188138393795919,0.106551845216408,-1.76569812952379,0.0774465067698223,3618.66859080032,"S_7"
"(Intercept)8",2.18523960231394,0.180160399478309,12.1294113947446,7.3777814251757e-34,2319.17537429059,"S_8"
"ELE7",0.104355539180988,0.120580674936795,0.865441657510111,0.386796425006675,2319.17537429059,"S_8"
"(Intercept)17",-3.69750542665598,0.17648476597565,-20.9508475488821,1.84321561736155e-97,2319.17537429059,"S_8"
"EDGE7",0.0681396057327618,0.132199318431802,0.515430839894329,0.606251986453351,2319.17537429059,"S_8"
"(Intercept)9",1.50456657448112,0.148737467985549,10.115585500133,4.71191185750851e-24,2544.95184199797,"S_9"
"ELE8",0.0423259061137014,0.115416276641889,0.366723891509941,0.713824983502332,2544.95184199797,"S_9"
"(Intercept)18",-2.62647583767102,0.124861826500274,-21.0350586026808,3.13385744535046e-98,2544.95184199797,"S_9"
"EDGE8",-0.0790555518632089,0.0910400328745771,-0.868360317621163,0.385197111397512,2544.95184199797,"S_9"
