"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.16608018067081,0.157503726035333,13.7525646865325,4.91555877934813e-43,2924.1101978234,"S_1"
"EDGE",-0.324158452146553,0.117307398141476,-2.7633248821665,0.00572157851678295,2924.1101978234,"S_1"
"(Intercept)1",-3.08222399516812,0.152936776466564,-20.1535828489361,2.50324287687234e-90,2924.1101978234,"S_1"
"ELE",0.0651389258368551,0.137054835187944,0.475276379323134,0.634589992775128,2924.1101978234,"S_1"
"(Intercept)2",2.61286137553358,0.153106125415304,17.0656880542574,2.67222317002405e-65,3349.4322746172,"S_2"
"EDGE1",-0.106217197492839,0.0994240105222274,-1.06832541691821,0.285373747180514,3349.4322746172,"S_2"
"(Intercept)11",-3.63730312150284,0.150908359515629,-24.1027278619786,2.34038708021337e-128,3349.4322746172,"S_2"
"ELE1",-0.000653718812404974,0.115442328502279,-0.00566273065422507,0.995481818786079,3349.4322746172,"S_2"
"(Intercept)3",1.89769834386442,0.14956767170572,12.687891188132,6.90191826245183e-37,1985.7236407283,"S_3"
"EDGE2",0.0674426656264107,0.128023438948946,0.526799359399383,0.598332927816928,1985.7236407283,"S_3"
"(Intercept)12",-3.65810140137374,0.140232420468619,-26.085989168192,5.25770492263995e-150,1985.7236407283,"S_3"
"ELE2",0.110947984747186,0.146364397807566,0.758025765890527,0.448435558059163,1985.7236407283,"S_3"
"(Intercept)4",1.69522622706917,0.136064596525854,12.4589810307272,1.24956988428632e-35,2397.37260777925,"S_4"
"EDGE3",-0.153350380260968,0.117320020832417,-1.30711177148543,0.191174753966605,2397.37260777925,"S_4"
"(Intercept)13",-2.9940895099772,0.116288959485311,-25.7469799646406,3.4844958719282e-146,2397.37260777925,"S_4"
"ELE3",0.210080217740814,0.102578048900019,2.04800364204212,0.0405596425338407,2397.37260777925,"S_4"
"(Intercept)5",0.940396010442381,0.193383074508349,4.86286616775132,0.00000115698077788495,1193.70665297048,"S_5"
"EDGE4",0.114662845943452,0.150486478225074,0.761947832761147,0.446091140051347,1193.70665297048,"S_5"
"(Intercept)14",-3.25136195906282,0.161524687937581,-20.1291951130051,4.09593430049766e-90,1193.70665297048,"S_5"
"ELE4",0.747102933496422,0.160201972366124,4.6635064628855,0.00000310866417725336,1193.70665297048,"S_5"
"(Intercept)6",2.13845671911781,0.146241303446142,14.6227958088829,2.00974846099118e-48,3160.46071505912,"S_6"
"EDGE5",-0.249891789606524,0.116918706520683,-2.13731230051127,0.032572599056504,3160.46071505912,"S_6"
"(Intercept)15",-3.0670153520986,0.136793945964693,-22.4206950860983,2.47293565230629e-111,3160.46071505912,"S_6"
"ELE5",0.0937847379881152,0.109778065621212,0.854312174817494,0.392932043165036,3160.46071505912,"S_6"
"(Intercept)7",2.43313551907368,0.125668300927009,19.3615693148179,1.62848157713984e-83,3619.94116311342,"S_7"
"EDGE6",0.0638454011948325,0.0955658676259318,0.668077450463162,0.504084154986982,3619.94116311342,"S_7"
"(Intercept)16",-3.07485498645124,0.117072203860551,-26.2646032538501,4.86849169312049e-152,3619.94116311342,"S_7"
"ELE6",-0.138731220095276,0.10120409423125,-1.37080640016675,0.170435315284053,3619.94116311342,"S_7"
"(Intercept)8",2.15334181147608,0.183308495786555,11.7470922568883,7.30908264659359e-32,2319.13276244975,"S_8"
"EDGE7",0.0584857783092454,0.135114302732763,0.43286148931932,0.665115398934665,2319.13276244975,"S_8"
"(Intercept)17",-3.66605465088294,0.179084963031765,-20.4710355845604,3.90239376798354e-93,2319.13276244975,"S_8"
"ELE7",0.126425555856486,0.158385967723297,0.798211847133791,0.424747563557171,2319.13276244975,"S_8"
"(Intercept)9",1.50751640910284,0.150180347208687,10.0380405101077,1.03713886306565e-23,2544.67763252322,"S_9"
"EDGE8",0.00200036908509513,0.120958159570533,0.0165376944573026,0.986805430366198,2544.67763252322,"S_9"
"(Intercept)18",-2.62545308419309,0.126502392501989,-20.7541773105343,1.12389320674296e-95,2544.67763252322,"S_9"
"ELE8",-0.0941166007256608,0.101183323349274,-0.93015921606746,0.352288654708557,2544.67763252322,"S_9"
