"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.20695530407232,0.160222397584045,13.7743245473196,3.63769440160645e-43,2924.57230097756,"S_1"
"ASPECT",0.0297711718002796,0.0839560673577038,0.354604172601801,0.722886149772276,2924.57230097756,"S_1"
"EDGE",-0.247873159096424,0.100278869191633,-2.47183839521303,0.0134420265607446,2924.57230097756,"S_1"
"(Intercept)1",-3.13885978635378,0.154049700346426,-20.3756305873697,2.75148933161468e-92,2924.57230097756,"S_1"
"SLOPE",-0.111795108609743,0.0981266584245813,-1.13929395339257,0.254580569529504,2924.57230097756,"S_1"
"(Intercept)2",2.65771879548816,0.161017743222805,16.50575111968,3.33556802422427e-61,3345.9921982651,"S_2"
"ASPECT1",0.161852397863946,0.070578423939182,2.29322771507926,0.0218348983220649,3345.9921982651,"S_2"
"EDGE1",-0.166125762589877,0.0788861440984562,-2.10589279636407,0.0352136655578037,3345.9921982651,"S_2"
"(Intercept)11",-3.69665341147383,0.15939077484964,-23.1923925017682,5.43372475026095e-119,3345.9921982651,"S_2"
"SLOPE1",0.0762046399119873,0.0848159904458739,0.898470200151916,0.368934925427095,3345.9921982651,"S_2"
"(Intercept)3",1.9340824494556,0.151323157768909,12.7811398993485,2.08983959724115e-37,1981.67178914871,"S_3"
"ASPECT2",-0.262150502041493,0.109567032987076,-2.39260382338194,0.0167292942034655,1981.67178914871,"S_3"
"EDGE2",0.299640635637504,0.119289046768521,2.5118872499581,0.0120087449503708,1981.67178914871,"S_3"
"(Intercept)12",-3.72358889414649,0.14198081022537,-26.2260011633681,1.34284324699621e-151,1981.67178914871,"S_3"
"SLOPE2",-0.190035556737518,0.110062928573058,-1.72660821587512,0.0842380494126742,1981.67178914871,"S_3"
"(Intercept)4",1.84120896883009,0.158757557396735,11.5976146208203,4.23724514008835e-31,2401.89750224349,"S_4"
"ASPECT3",-0.0493329517335666,0.0992585519022001,-0.49701462280222,0.61917873959128,2401.89750224349,"S_4"
"EDGE3",0.0182148094732234,0.113834153337997,0.16001181490005,0.872871767195282,2401.89750224349,"S_4"
"(Intercept)13",-3.18221890508364,0.159596240491412,-19.9391846279417,1.86072927657004e-88,2401.89750224349,"S_4"
"SLOPE3",-0.119778993279029,0.117677566120551,-1.01785750018253,0.308745681382135,2401.89750224349,"S_4"
"(Intercept)5",0.828167715929394,0.174884764235121,4.73550523141041,0.00000218510068278605,1213.79021908403,"S_5"
"ASPECT4",0.324777778440955,0.172622573675537,1.88143283653858,0.0599130635825882,1213.79021908403,"S_5"
"EDGE4",0.214566824948598,0.13824526851894,1.55207355193644,0.120644625501046,1213.79021908403,"S_5"
"(Intercept)14",-3.06786579499672,0.123686567343744,-24.8035486866627,8.20843218456241e-136,1213.79021908403,"S_5"
"SLOPE4",0.214772232813927,0.120804480250829,1.77784989735472,0.0754285108675252,1213.79021908403,"S_5"
"(Intercept)6",2.19210485173364,0.149850108799087,14.628650384717,1.84408926143816e-48,3156.97450113372,"S_6"
"ASPECT5",-0.217095069984035,0.0881568885684872,-2.46259904936843,0.0137934068197392,3156.97450113372,"S_6"
"EDGE5",-0.0810977628455859,0.111027501347816,-0.73042950495239,0.465127688790915,3156.97450113372,"S_6"
"(Intercept)15",-3.14652510281658,0.142576325248865,-22.069057379087,6.26847190419799e-108,3156.97450113372,"S_6"
"SLOPE5",-0.0954086925097488,0.0954336165774808,-0.999738833456953,0.317436913682527,3156.97450113372,"S_6"
"(Intercept)7",2.46912575057502,0.131126873713362,18.8300512370365,4.28346147539537e-79,3610.11060825374,"S_7"
"ASPECT6",-0.253214695129784,0.0771508329348294,-3.28207338141999,0.00103046784590795,3610.11060825374,"S_7"
"EDGE6",0.13237947137567,0.0851885677656187,1.55395817593611,0.120194393355022,3610.11060825374,"S_7"
"(Intercept)16",-3.14628224397072,0.124697114916116,-25.231395658891,1.81267648459634e-140,3610.11060825374,"S_7"
"SLOPE6",-0.209200452250729,0.0781588597827147,-2.67660573391572,0.00743720950974585,3610.11060825374,"S_7"
"(Intercept)8",2.22711126303751,0.185580734324741,12.0007675965996,3.52016438442729e-33,2320.96679144956,"S_8"
"ASPECT7",-0.0407557491285549,0.0929306278377231,-0.438561000574786,0.660979660753327,2320.96679144956,"S_8"
"EDGE7",0.198829452567923,0.100826714814706,1.97199177750976,0.0486105451783574,2320.96679144956,"S_8"
"(Intercept)17",-3.74381065646434,0.183749137670467,-20.3745753799315,2.81143166507237e-92,2320.96679144956,"S_8"
"SLOPE7",-0.0940359275986122,0.105977216513447,-0.887322112170025,0.374905503942263,2320.96679144956,"S_8"
"(Intercept)9",1.55065473127892,0.157360202472704,9.8541734626193,6.57554728856286e-23,2543.6780127839,"S_9"
"ASPECT8",-0.200246211128025,0.117556725205615,-1.70340072656651,0.0884931018371018,2543.6780127839,"S_9"
"EDGE8",0.0787483031868938,0.127981253352091,0.615311236015545,0.538349198659944,2543.6780127839,"S_9"
"(Intercept)18",-2.69546951264288,0.138484330382708,-19.4640758647121,2.21452725607168e-84,2543.6780127839,"S_9"
"SLOPE8",-0.174188213381667,0.113485792785824,-1.5348900431123,0.124810839705614,2543.6780127839,"S_9"
