"","SEASON","ESTIMATE","LOWER","UPPER"
"1","summer16",30.9463944792881,22.8571428571429,40.2857142857143
"2","fall16",46.5478005991236,35,60
"3","winter16",21.0619990536721,14.4285714285714,29.5714285714286
"4","spring17",22.8361561363202,15.7142857142857,31.1428571428571
"5","summer17",8.98264292890597,6,14
"6","fall17",30.2192670582656,23,38.8571428571429
"7","winter17",40.6870658684481,31.8571428571429,51
"8","spring18",30.0384071819111,21,41
"9","summer18",14.1372303804195,11.1428571428571,18.7142857142857
